solar,load,grid
0.231159785,0,1
0.814949732,0,1
1.357031881,0,1
1.798828113,2.739726027,1
2.093578921,2.739726027,1
2.211853375,2.739726027,1
2.142871369,2.739726027,1
1.891092273,2.739726027,1
1.48232886,0,1
0.873200429,0,1
0.216860746,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.190696848,0,1
0.790296536,0,1
1.35651135,0,1
1.796232428,2.739726027,1
2.012225002,2.739726027,1
2.199953195,2.739726027,1
2.011311749,2.739726027,1
1.880862905,2.739726027,1
1.474016627,0,1
0.953857208,0,1
0.237534201,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.261457723,0,1
0.761476767,0,1
0.686787507,0,1
0.824600473,2.739726027,1
1.260484958,2.739726027,1
0.96533678,2.739726027,1
1.284538613,2.739726027,1
1.472434119,2.739726027,1
1.457264352,0,1
0.787561423,0,1
0.241022225,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.213141736,0,1
0.424595463,0,1
1.324421994,0,1
1.474341959,2.739726027,1
1.116748625,2.739726027,1
1.068982913,2.739726027,1
0.970133104,2.739726027,1
1.337442246,2.739726027,1
0.954828556,0,1
0.933398471,0,1
0.109218606,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.20411354,0,1
0.597697658,0,1
0.927786494,0,1
1.784381048,2.739726027,1
2.072780909,2.739726027,1
2.185287692,2.739726027,1
1.451143462,2.739726027,1
1.080053497,2.739726027,1
0.8381552,0,1
0.387391423,0,1
0.39705146,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.275047306,0,1
0.826554789,0,1
1.363306142,0,1
1.490778197,2.739726027,1
1.374053717,2.739726027,1
2.205242164,2.739726027,1
1.766487787,2.739726027,1
1.831154497,2.739726027,1
1.386778847,0,1
0.241675213,0,1
0.342769813,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.171447649,0,1
0.818419165,0,1
1.372961531,0,1
1.811938993,2.739726027,1
2.101135919,2.739726027,1
2.214442089,2.739726027,1
2.142752855,2.739726027,1
1.892911809,2.739726027,1
1.485435781,0,1
0.964195794,0,1
0.403853223,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.263209868,0,1
0.774738694,0,1
1.168983004,0,1
1.682310451,2.739726027,1
1.845352915,2.739726027,1
2.075843678,2.739726027,1
2.108118938,2.739726027,1
1.902613674,2.739726027,1
1.497224419,0,1
0.975396511,0,1
0.406295537,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.283264264,0,1
0.851110385,0,1
1.231867359,0,1
1.834651816,2.739726027,1
2.175200076,2.739726027,1
2.288926854,2.739726027,1
2.215041629,2.739726027,1
1.877342348,2.739726027,1
1.540361121,0,1
1.006214748,0,1
0.394025873,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.287519142,0,1
0.886625023,0,1
1.450797216,0,1
1.905897204,2.739726027,1
2.205170126,2.739726027,1
2.324311358,2.739726027,1
2.249127129,2.739726027,1
1.989337895,2.739726027,1
1.565967074,0,1
1.023945343,0,1
0.412595359,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.30858439,0,1
0.901302144,0,1
1.464746988,0,1
1.920432573,2.739726027,1
2.218555215,2.739726027,1
2.335814169,2.739726027,1
2.26239138,2.739726027,1
1.999035113,2.739726027,1
1.577695293,0,1
1.034007398,0,1
0.417526463,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.297172207,0,1
0.914747652,0,1
1.484601537,0,1
1.944146954,2.739726027,1
2.244595719,2.739726027,1
2.360399974,2.739726027,1
2.281681245,2.739726027,1
2.018557357,2.739726027,1
1.590139243,0,1
1.042805305,0,1
0.420075672,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.303492944,0,1
0.919167519,0,1
1.503147785,0,1
1.962010005,2.739726027,1
2.2645316,2.739726027,1
2.382871122,2.739726027,1
2.303306529,2.739726027,1
2.038067983,2.739726027,1
1.606447672,0,1
1.047662047,0,1
0.422652766,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.263762933,0,1
0.913799541,0,1
1.509233818,0,1
1.92014907,2.739726027,1
2.27830244,2.739726027,1
2.345434702,2.739726027,1
2.320723411,2.739726027,1
2.055247838,2.739726027,1
1.624275867,0,1
1.054296497,0,1
0.407571303,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.328517947,0,1
0.946321124,0,1
1.516814054,0,1
1.976385033,2.739726027,1
2.27704294,2.739726027,1
2.3928867,2.739726027,1
2.31236935,2.739726027,1
2.04766063,2.739726027,1
1.615573235,0,1
1.054986665,0,1
0.430246945,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.319757221,0,1
0.935592139,0,1
1.503738031,0,1
1.958875199,2.739726027,1
2.261385175,2.739726027,1
2.375922959,2.739726027,1
2.297757294,2.739726027,1
2.031902941,2.739726027,1
1.605934112,0,1
1.057677626,0,1
0.432229147,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.328724765,0,1
0.930147475,0,1
1.492672094,0,1
1.946775172,2.739726027,1
2.247435403,2.739726027,1
2.363142059,2.739726027,1
2.28701669,2.739726027,1
2.024041526,2.739726027,1
1.596966568,0,1
1.052830179,0,1
0.43533142,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.324351373,0,1
0.916304598,0,1
1.476282332,0,1
1.897078382,2.739726027,1
2.228484813,2.739726027,1
2.30039016,2.739726027,1
2.228542908,2.739726027,1
1.992802681,2.739726027,1
1.565981017,0,1
1.022437197,0,1
0.415114359,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.329765828,0,1
0.906103115,0,1
1.460352682,0,1
1.908727592,2.739726027,1
2.203387772,2.739726027,1
2.31627101,2.739726027,1
2.235742041,2.739726027,1
1.972202193,2.739726027,1
1.548768629,0,1
1.013913498,0,1
0.416229783,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.335698489,0,1
0.924456489,0,1
1.481977966,0,1
1.934396288,2.739726027,1
2.233736601,2.739726027,1
2.313380203,2.739726027,1
2.265523863,2.739726027,1
1.999176864,2.739726027,1
1.57308255,0,1
1.028962428,0,1
0.4179401,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.334645808,0,1
0.917271299,0,1
1.467393797,0,1
1.912378282,2.739726027,1
2.202074824,2.739726027,1
2.311674533,2.739726027,1
2.230439129,2.739726027,1
1.964852013,2.739726027,1
1.543839849,0,1
1.007748456,0,1
0.421918445,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.335459138,0,1
0.900405157,0,1
1.446651557,0,1
1.886007798,2.739726027,1
2.176564147,2.739726027,1
2.284739366,2.739726027,1
2.203717751,2.739726027,1
1.941920753,2.739726027,1
1.508971229,0,1
0.928451101,0,1
0.421270105,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.323754157,0,1
0.901692543,0,1
